# We use 12-month moving average values in the fit				
#				
# Year	log( CO2 / 277.3 )	Volcanic	Temperature (C) 	Uncertainty (C, 1 sigma)
1772.1666666667	0.0004572701	0.3468315519	8.520874	0.4987039085
1772.25	0.0004945781	0.3369579309	8.4746761	0.5002592041
1772.3333333333	0.000532189	0.3273653927	8.5395241	0.4932555947
1772.4166666667	0.0005701039	0.3180459354	8.792593	0.5176466357
1772.5	0.000608324	0.308991785	8.9601221	0.5188186488
1772.5833333333	0.0006468504	0.3001953887	8.9849815	0.4938905007
1772.6666666667	0.0006856842	0.2916494087	9.0067644	0.5532656699
1772.75	0.0007248264	0.2833467162	9.1357603	0.5464217241
1772.8333333333	0.0007642782	0.2752803852	9.2322493	0.5634179149
1772.9166666667	0.0008040406	0.267443687	9.4786806	0.5998780966
1773	0.0008441148	0.2598300844	9.4722443	0.6432058648
1773.0833333333	0.0008845018	0.2524332262	9.4561653	0.6580628428
1773.1666666667	0.0009252028	0.2452469423	9.4564848	0.6379780726
1773.25	0.0009662188	0.2382652379	9.57586	0.6129292579
1773.3333333333	0.0010075509	0.2314822891	9.5461721	0.593604002
1773.4166666667	0.0010492003	0.2248924377	9.2927399	0.5308578245
1773.5	0.001091168	0.2184901865	9.2299051	0.537284831
1773.5833333333	0.0011334551	0.212270195	9.027566	0.6642646916
1773.6666666667	0.0011760628	0.2062272746	9.1920328	0.7251448539
1773.75	0.001218992	0.2003563844	9.24189	0.7455400421
1773.8333333333	0.0012622439	0.1946526271	9.2980261	0.6997563986
1773.9166666667	0.0013058196	0.1891112447	9.3341494	0.7783319267
1774	0.0013497202	0.1837276146	9.481967	0.8106205499
1774.0833333333	0.0013939468	0.1784972461	9.567791	0.8649337407
1774.1666666667	0.0014385004	0.173415776	9.5946512	0.8582524989
1774.25	0.0014833821	0.1684789654	9.4613714	0.850712146
1774.3333333333	0.0015285931	0.1636826963	9.3581171	0.8224037498
1774.4166666667	0.0015741344	0.1590229677	9.1742096	0.8058179725
1774.5	0.0016200071	0.1544958925	8.7350826	0.7692838873
1774.5833333333	0.0016662124	0.1500976943	9.12535	0.7197941087
1774.6666666667	0.001712751	0.1458247044	9.3258142	0.65328081
1774.75	0.0017596237	0.1416733581	9.4336214	0.6295486009
1774.8333333333	0.0018068308	0.1376401926	9.1560936	0.6334406128
1774.9166666667	0.0018543724	0.1337218435	8.9510565	0.5291108296
1775	0.0019022483	0.1299150422	8.8036299	0.4795315009
1775.0833333333	0.0019504578	0.1262166131	8.7253561	0.4568751914
1775.1666666667	0.0019990003	0.1226234711	8.6912203	0.470226912
1775.25	0.0020478744	0.119132619	8.7235174	0.5052496511
1775.3333333333	0.002097079	0.1157411445	8.8615885	0.5156916147
1775.4166666667	0.0021466121	0.1124462188	9.3039923	0.5147620006
1775.5	0.0021964719	0.1092450933	9.4683895	0.5229446495
1775.5833333333	0.0022466561	0.1061350975	9.02246	0.4901074667
1775.6666666667	0.0022971621	0.1031136373	8.8716183	0.5328358078
1775.75	0.0023479876	0.1001781922	8.6126299	0.5848277313
1775.8333333333	0.0023991302	0.0973263135	8.5985556	0.5924398276
1775.9166666667	0.0024505873	0.0945556223	8.4570446	0.6676453097
1776	0.0025023565	0.0918638073	8.5667667	0.6691773545
1776.0833333333	0.0025544354	0.089248623	8.506896	0.6642196712
1776.1666666667	0.0026068216	0.086707888	8.5369339	0.6205296209
1776.25	0.0026595126	0.0842394827	8.4680967	0.5913424019
1776.3333333333	0.002712506	0.0818413482	8.2760201	0.589074065
1776.4166666667	0.0027657992	0.0795114839	8.0687094	0.6837481797
1776.5	0.00281939	0.0772479463	8.2541065	0.6680075875
1776.5833333333	0.0028732758	0.0750488472	8.8130674	0.6426442282
1776.6666666667	0.0029274542	0.0729123522	8.7940931	0.6345200557
1776.75	0.0029819227	0.070836679	8.8639469	0.6513622788
1776.8333333333	0.003036679	0.0688200963	8.7388639	0.6550134818
1776.9166666667	0.0030917206	0.0668609217	8.9055376	0.7060238148
1777	0.003147045	0.0649575211	8.7073622	0.6651610573
1777.0833333333	0.0032026498	0.0631083066	8.5635109	0.6848304883
1777.1666666667	0.0032585326	0.0613117356	8.3995352	0.6481271971
1777.25	0.0033146909	0.0595663095	8.4358339	0.7044726788
1777.3333333333	0.0033711222	0.0578705723	8.3400984	0.6883619498
1777.4166666667	0.0034278243	0.0562231094	8.2972374	0.6753665662
1777.5	0.0034847945	0.0546225466	8.1559687	0.6731057214
1777.5833333333	0.0035420305	0.0530675488	7.8557568	0.6824543108
1777.6666666667	0.0035995298	0.0515568187	7.8761978	0.7316053981
1777.75	0.0036572901	0.0500890961	7.7467289	0.7941479896
1777.8333333333	0.0037153088	0.0486631568	8.0774374	0.7955934032
1777.9166666667	0.0037735835	0.0472778112	8.0971699	0.7908798038
1778	0.0038321118	0.0459319037	8.0420799	0.8313413825
1778.0833333333	0.0038908913	0.0446243115	8.267766	0.8323693076
1778.1666666667	0.0039499195	0.043353944	8.3515167	0.7750084536
1778.25	0.004009194	0.0421197414	8.4527969	0.7634218699
1778.3333333333	0.0040687123	0.0409206741	8.4889421	0.7119676005
1778.4166666667	0.0041284721	0.0397557419	8.4389162	0.6516415189
1778.5	0.0041884708	0.0386239731	8.4276142	0.6348488249
1778.5833333333	0.0042487061	0.0375244236	8.3128214	0.6170778265
1778.6666666667	0.0043091755	0.0364561761	8.3140697	0.7079679334
1778.75	0.0043698766	0.0354183395	8.5567312	0.6269768584
1778.8333333333	0.004430807	0.0344100481	8.5477533	0.6094533507
1778.9166666667	0.0044919642	0.0334304609	8.7145548	0.5951643585
1779	0.0045533457	0.0324787605	8.7513494	0.5615779336
1779.0833333333	0.0046149493	0.0315541533	8.5942335	0.5739901722
1779.1666666667	0.0046767723	0.0306558678	8.5946951	0.6127751109
1779.25	0.0047388125	0.0297831547	8.6053047	0.6582017988
1779.3333333333	0.0048010673	0.0289352861	8.8106298	0.6588629917
1779.4166666667	0.0048635344	0.0281115547	8.8914852	0.6886964091
1779.5	0.0049262113	0.0273112733	8.8907595	0.7236007009
1779.5833333333	0.0049890956	0.0265337744	8.9612303	0.5973873025
1779.6666666667	0.0050521849	0.0257784093	8.8782349	0.604002611
1779.75	0.0051154767	0.0250445481	8.8299503	0.559622062
1779.8333333333	0.0051789686	0.0243315784	8.9803152	0.6336247042
1779.9166666667	0.0052426582	0.0236389056	9.0709066	0.7372148215
1780	0.0053065431	0.0229659518	9.2591162	0.8369311422
1780.0833333333	0.0053706208	0.0223121558	9.4435415	0.9003108049
1780.1666666667	0.0054348889	0.021676972	9.3735857	0.985352486
1780.25	0.005499345	0.0210598707	9.1155615	1.0115779886
1780.3333333333	0.0055639866	0.020460337	9.0467615	1.0118856925
1780.4166666667	0.0056288114	0.019877871	9.0028486	1.0016948106
1780.5	0.0056938169	0.0193119866	8.8833761	1.1661365402
1780.5833333333	0.0057590007	0.0187622118	8.9502935	0.949418685
1780.6666666667	0.0058243604	0.018228088	8.8034716	0.7891655401
1780.75	0.0058898936	0.0177091698	8.7691679	0.9034415135
1780.8333333333	0.0059555977	0.0172050241	8.4595842	0.7699667989
1780.9166666667	0.0060214705	0.0167152304	8.1359634	0.6366662841
1781	0.0060875095	0.0162393803	7.9556599	0.5794072304
1781.0833333333	0.0061537123	0.0157770766	7.8396339	0.5621914391
1781.1666666667	0.0062200764	0.0153279339	8.0010195	0.5534120301
1781.25	0.0062865995	0.0148915774	8.0648518	0.5789426369
1781.3333333333	0.0063532791	0.0144676431	7.976171	0.5507566687
1781.4166666667	0.0064201128	0.0140557774	8.1245804	0.5357989582
1781.5	0.0064870982	0.0136556367	8.3199472	0.4818740821
1781.5833333333	0.0065542329	0.0132668872	8.2759171	0.5155580255
1781.6666666667	0.0066215145	0.0128892047	8.2013083	0.4947426388
1781.75	0.0066889405	0.012522274	8.0009928	0.5104564227
1781.8333333333	0.0067565086	0.0121657892	8.0276041	0.4910802164
1781.9166666667	0.0068242162	0.0118194528	8.0222616	0.4810645371
1782	0.0068920611	0.0114829759	8.1212978	0.4766787348
1782.0833333333	0.0069600408	0.0111560779	8.0547075	0.4985845626
1782.1666666667	0.0070281529	0.010838486	7.9999881	0.4941235794
1782.25	0.007096395	0.0105299353	8.0954771	0.4999166663
1782.3333333333	0.0071647646	0.0102301685	8.083252	0.5578448309
1782.4166666667	0.0072332594	0.0099389355	7.8630576	0.5723769694
1782.5	0.007301877	0.0096559933	7.6393533	0.5383791333
1782.5833333333	0.0073706149	0.0093811059	7.4124451	0.4887076096
1782.6666666667	0.0074394708	0.009114044	7.7487202	0.5142529892
1782.75	0.0075084422	0.0088545849	7.855442	0.4870133028
1782.8333333333	0.0075775267	0.008602512	7.9090238	0.5023746709
