# Berkeley Interpolated
#
# Year    CO2 (ppm)
1754.7916666667 276.6130281671
1754.875    276.6126430198
1754.9583333333 276.6122767039
1755.0416666667 276.6119295339
1755.125    276.6116018245
1755.2083333333 276.6112938905
1755.2916666667 276.6110060464
1755.375    276.6107386069
1755.4583333333 276.6104918867
1755.5416666667 276.6102662005
1755.625    276.6100618628
1755.7083333333 276.6098791885
1755.7916666667 276.609718492
1755.875    276.6095800881
1755.9583333333 276.6094642914
1756.0416666667 276.6093714167
1756.125    276.6093017785
1756.2083333333 276.6092556915
1756.2916666667 276.6092334705
1756.375    276.6092354299
1756.4583333333 276.6092618846
1756.5416666667 276.6093131491
1756.625    276.6093895382
1756.7083333333 276.6094913664
1756.7916666667 276.6096189485
1756.875    276.6097725991
1756.9583333333 276.6099526329
1757.0416666667 276.6101593645
1757.125    276.6103931085
1757.2083333333 276.6106541797
1757.2916666667 276.6109428928
1757.375    276.6112595623
1757.4583333333 276.6116045029
1757.5416666667 276.6119780293
1757.625    276.6123804562
1757.7083333333 276.6128120981
1757.7916666667 276.6132732699
1757.875    276.613764286
1757.9583333333 276.6142854613
1758.0416666667 276.6148371103
1758.125    276.6154195477
1758.2083333333 276.6160330882
1758.2916666667 276.6166780465
1758.375    276.6173547371
1758.4583333333 276.6180634747
1758.5416666667 276.6188045741
1758.625    276.6195783499
1758.7083333333 276.6203851167
1758.7916666667 276.6212251892
1758.875    276.622098882
1758.9583333333 276.6230065099
1759.0416666667 276.6239483874
1759.125    276.6249248293
1759.2083333333 276.6259361502
1759.2916666667 276.6269826647
1759.375    276.6280646875
1759.4583333333 276.6291825333
1759.5416666667 276.6303365168
1759.625    276.6315269526
1759.7083333333 276.6327541553
1759.7916666667 276.6340184396
1759.875    276.6353201202
1759.9583333333 276.6366595118
1760.0416666667 276.6380369289
1760.125    276.6394526864
1760.2083333333 276.6409070987
1760.2916666667 276.6424004806
1760.375    276.6439331468
1760.4583333333 276.6455054118
1760.5416666667 276.6471175905
1760.625    276.6487699973
1760.7083333333 276.6504629471
1760.7916666667 276.6521967543
1760.875    276.6539717338
1760.9583333333 276.6557882002
1761.0416666667 276.657646468
1761.125    276.6595468521
1761.2083333333 276.661489667
1761.2916666667 276.6634752274
1761.375    276.665503848
1761.4583333333 276.6675758434
1761.5416666667 276.6696915283
1761.625    276.6718512173
1761.7083333333 276.6740552252
1761.7916666667 276.6763038665
1761.875    276.6785974559
1761.9583333333 276.6809363082
1762.0416666667 276.6833207379
1762.125    276.6857510597
1762.2083333333 276.6882275882
1762.2916666667 276.6907506382
1762.375    276.6933205243
1762.4583333333 276.6959375612
1762.5416666667 276.6986020634
1762.625    276.7013143457
1762.7083333333 276.7040747228
1762.7916666667 276.7068835092
1762.875    276.7097410198
1762.9583333333 276.712647569
1763.0416666667 276.7156034716
1763.125    276.7186090422
1763.2083333333 276.7216645955
1763.2916666667 276.7247704462
1763.375    276.7279269089
1763.4583333333 276.7311342983
1763.5416666667 276.734392929
1763.625    276.7377031157
1763.7083333333 276.7410651731
1763.7916666667 276.7444794158
1763.875    276.7479461584
1763.9583333333 276.7514657157
1764.0416666667 276.7550384023
1764.125    276.7586645329
1764.2083333333 276.7623444221
1764.2916666667 276.7660783845
1764.375    276.7698667349
1764.4583333333 276.7737097879
1764.5416666667 276.7776078582
1764.625    276.7815612604
1764.7083333333 276.7855703092
1764.7916666667 276.7896353192
1764.875    276.7937566051
1764.9583333333 276.7979344816
1765.0416666667 276.8021692633
1765.125    276.8064612649
1765.2083333333 276.810810801
1765.2916666667 276.8152181864
1765.375    276.8196837356
1765.4583333333 276.8242077633
1765.5416666667 276.8287905842
1765.625    276.833432513
1765.7083333333 276.8381338642
1765.7916666667 276.8428949527
1765.875    276.8477160929
1765.9583333333 276.8525975997
1766.0416666667 276.8575397876
1766.125    276.8625429713
1766.2083333333 276.8676074655
1766.2916666667 276.8727335848
1766.375    276.8779216439
1766.4583333333 276.8831719575
1766.5416666667 276.8884848401
1766.625    276.8938606066
1766.7083333333 276.8992995714
1766.7916666667 276.9048020494
1766.875    276.9103683551
1766.9583333333 276.9159988032
1767.0416666667 276.9216937084
1767.125    276.9274533854
1767.2083333333 276.9332781487
1767.2916666667 276.9391683131
1767.375    276.9451241932
1767.4583333333 276.9511461036
1767.5416666667 276.9572343592
1767.625    276.9633892744
1767.7083333333 276.9696111639
1767.7916666667 276.9759003425
1767.875    276.9822571248
1767.9583333333 276.9886818254
1768.0416666667 276.9951747589
1768.125    277.0017362402
1768.2083333333 277.0083665838
1768.2916666667 277.0150661043
1768.375    277.0218351165
1768.4583333333 277.028673935
1768.5416666667 277.0355828744
1768.625    277.0425622495
1768.7083333333 277.0496123749
1768.7916666667 277.0567335651
1768.875    277.063926135
1768.9583333333 277.0711903992
1769.0416666667 277.0785266723
1769.125    277.0859352689
1769.2083333333 277.0934165039
1769.2916666667 277.1009706917
1769.375    277.108598147
1769.4583333333 277.1162991846
1769.5416666667 277.1240741191
1769.625    277.1319232652
1769.7083333333 277.1398469374
1769.7916666667 277.1478454505
1769.875    277.1559191191
1769.9583333333 277.1640682579
1770.0416666667 277.1722931816
1770.125    277.1805942048
1770.2083333333 277.1889716421
1770.2916666667 277.1974258083
1770.375    277.205957018
1770.4583333333 277.2145655858
1770.5416666667 277.2232518264
1770.625    277.2320160545
1770.7083333333 277.2408585847
1770.7916666667 277.2497797317
1770.875    277.2587798102
1770.9583333333 277.2678591347
1771.0416666667 277.2770180201
1771.125    277.2862567809
1771.2083333333 277.2955757317
1771.2916666667 277.3049751874
1771.375    277.3144554624
1771.4583333333 277.3240168715
1771.5416666667 277.3336597294
1771.625    277.3433843506
1771.7083333333 277.3531910499
1771.7916666667 277.3630801419
1771.875    277.3730519413
1771.9583333333 277.3831067627
1772.0416666667 277.3932449209
1772.125    277.4034667303
1772.2083333333 277.4137725058
1772.2916666667 277.424162562
1772.375    277.4346372135
1772.4583333333 277.445196775
1772.5416666667 277.4558415612
1772.625    277.4665718867
1772.7083333333 277.4773880662
1772.7916666667 277.4882904143
1772.875    277.4992792457
1772.9583333333 277.5103548751
1773.0416666667 277.5215176171
1773.125    277.5327677864
1773.2083333333 277.5441056976
1773.2916666667 277.5555316654
1773.375    277.5670460045
1773.4583333333 277.5786490295
1773.5416666667 277.5903410551
1773.625    277.602122396
1773.7083333333 277.6139933667
1773.7916666667 277.625954282
1773.875    277.6380054566
1773.9583333333 277.650147205
1774.0416666667 277.662379842
1774.125    277.6747036821
1774.2083333333 277.6871190402
1774.2916666667 277.6996262307
1774.375    277.7122255685
1774.4583333333 277.7249173681
1774.5416666667 277.7377019442
1774.625    277.7505796115
1774.7083333333 277.7635506846
1774.7916666667 277.7766154782
1774.875    277.789774307
1774.9583333333 277.8030274856
1775.0416666667 277.8163753082
1775.125    277.8298175994
1775.2083333333 277.8433537144
1775.2916666667 277.8569829875
1775.375    277.8707047534
1775.4583333333 277.8845183466
1775.5416666667 277.8984231016
1775.625    277.9124183531
1775.7083333333 277.9265034356
1775.7916666667 277.9406776837
1775.875    277.9549404319
1775.9583333333 277.9692910147
1776.0416666667 277.9837287668
1776.125    277.9982530226
1776.2083333333 278.0128631168
1776.2916666667 278.0275583839
1776.375    278.0423381585
1776.4583333333 278.0572017751
1776.5416666667 278.0721485683
1776.625    278.0871778727
1776.7083333333 278.1022890227
1776.7916666667 278.117481353
1776.875    278.1327541982
1776.9583333333 278.1481068927
1777.0416666667 278.1635387711
1777.125    278.1790491681
1777.2083333333 278.1946374181
1777.2916666667 278.2103028557
1777.375    278.2260448155
1777.4583333333 278.241862632
1777.5416666667 278.2577556399
1777.625    278.2737231735
1777.7083333333 278.2897645676
1777.7916666667 278.3058791567
1777.875    278.3220662753
1777.9583333333 278.338325258
1778.0416666667 278.3546554393
1778.125    278.3710561539
1778.2083333333 278.3875267362
1778.2916666667 278.4040665208
1778.375    278.4206748424
1778.4583333333 278.4373510353
1778.5416666667 278.4540944343
1778.625    278.4709043738
1778.7083333333 278.4877801885
1778.7916666667 278.5047212128
1778.875    278.5217267814
1778.9583333333 278.5387962288
1779.0416666667 278.5559288895
1779.125    278.5731240982
1779.2083333333 278.5903811893
1779.2916666667 278.6076994975
1779.375    278.6250783573
1779.4583333333 278.6425171032
1779.5416666667 278.6600150698
1779.625    278.6775715917
1779.7083333333 278.6951860034
1779.7916666667 278.7128576395
1779.875    278.7305858346
1779.9583333333 278.7483699232
1780.0416666667 278.7662092398
1780.125    278.7841031191
1780.2083333333 278.8020508956
1780.2916666667 278.8200519038
1780.375    278.8381054783
1780.4583333333 278.8562109537
1780.5416666667 278.8743676644
1780.625    278.8925749452
1780.7083333333 278.9108321305
1780.7916666667 278.9291385549
1780.875    278.947493553
1780.9583333333 278.9658964593
1781.0416666667 278.9843466084
1781.125    279.0028433348
1781.2083333333 279.0213859731
1781.2916666667 279.0399738578
1781.375    279.0586063236
1781.4583333333 279.0772827049
1781.5416666667 279.0960023364
1781.625    279.1147645525
1781.7083333333 279.1335686879
1781.7916666667 279.1524140771
1781.875    279.1713000547
1781.9583333333 279.1902259552
1782.0416666667 279.2091911132
1782.125    279.2281948633
1782.2083333333 279.2472365399
1782.2916666667 279.2663154777
1782.375    279.2854310112
1782.4583333333 279.304582475
1782.5416666667 279.3237692037
1782.625    279.3429905317
1782.7083333333 279.3622457937
1782.7916666667 279.3815343242
1782.875    279.4008554578
1782.9583333333 279.4202085291
1783.0416666667 279.4395928725
1783.125    279.4590078227
